year,region1,region2,industry1,industry2,amount
2019,IN,CN,CHEM1,ALUM1,234.09
2019,IN,CN,COPP1,COPP1,233.71
2019,IN,US,WOODW,WOODW,232.02
2019,IN,IE,CHEM1,PLAST,227.29
2019,IN,WA,ALUM1,CONST,226.65
2019,IN,WM,MOTOR,POSTT,226.55
2019,IN,US,COMPU,FINAN,223.58
2019,IN,DE,ELECT,CONST,223.10
2019,IN,WA,TRANS,93197,222.82
2019,IN,ES,TEXTI,WEARI,221.86
2019,IN,WF,HEAVY,FURNI,221.12
2019,IN,IT,BASIC,BASIC,220.14
2019,IN,RU,CHEM1,HEALT,220.00
2019,IN,KR,ALUM1,FABRI,219.25
2019,IN,CN,BASIC,CONST,218.56
2019,IN,WM,NONME,CONST,216.13
2019,IN,US,PROCE,PLAS1,215.31
2019,IN,US,FABRI,MOTO1,212.86
2019,IN,RU,RADIO,RESEA,211.51
2019,IN,CN,GASDI,RAILW,211.01
2019,IN,FR,TRANS,TRANS,209.47
2019,IN,ID,OILSE,VEGE1,208.29
2019,IN,WA,GASDI,SALEM,206.11
2019,IN,WA,MOTOR,PIGS9,205.68
2019,IN,WA,ALUM1,MOTO1,204.87
2019,IN,WM,CHEM1,ELEC2,204.34
2019,IN,WA,FURNI,AIRTR,204.25
2019,IN,US,PLAST,RUBBE,203.97
2019,IN,US,CEMEN,CONST,203.62
2019,IN,KR,LEAD1,ELECT,202.54
2019,IN,IT,HOTEL,CONST,202.29
2019,IN,CN,LEAD1,CONST,198.90
2019,IN,WM,CHEM1,KEROS,196.52
2019,IN,WA,CHEM1,GLASS,195.45
2019,IN,WA,ALUM1,OFFIC,194.06
2019,IN,WA,TRANS,SEACO,192.13
2019,IN,ID,FABRI,CONST,191.68
2019,IN,WM,TEXTI,HOTEL,190.66
2019,IN,WM,FOOD5,MEATA,190.23
2019,IN,WA,MOTOR,SALEM,190.17
2019,IN,WA,MOTOR,WOODW,190.06
2019,IN,WA,PREC1,ELECT,188.81
2019,IN,WA,TEXTI,MEAT1,187.54
2019,IN,WM,CHEM1,WHOLE,187.08
2019,IN,WM,RADIO,COMPU,186.67
2019,IN,DE,TRANS,TRANS,186.44
2019,IN,FR,HOTEL,BUSIN,185.59
2019,IN,WM,PROCE,CHEM1,182.90
2019,IN,KR,TEXTI,TEXTI,182.37
2019,IN,WM,CROPS,CHEM1,182.24
2019,IN,WA,CROPS,PFERT,181.43
2019,IN,DE,MOTO1,MOTO1,181.31
2019,IN,WA,MOTOR,RETA1,180.62
2019,IN,WM,VEGET,RESEA,180.06
2019,IN,IT,BASIC,FABRI,177.28
2019,IN,WA,OILSE,OFFIC,176.95
2019,IN,WF,CHEM1,WHOLE,176.78
2019,IN,CN,NAPHT,PLAST,176.74
2019,IN,WM,GASDI,CATTL,175.79
2019,IN,FR,SEACO,SUPPO,175.05
2019,IN,WM,PROCE,INSUR,172.65
2019,IN,WM,MOTOR,FISH5,172.33
2019,IN,JP,MOTO1,MOTO1,171.95
2019,IN,KR,CHEM1,PLAST,171.86
2019,IN,WA,GASDI,CRUDE,171.79
2019,IN,KR,ALUM1,MOTO1,169.57
2019,IN,CN,ELECT,MOTO1,169.31
2019,IN,WM,GLASS,CONST,169.07
2019,IN,WM,PROCE,REALE,168.49
2019,IN,ES,CHEM1,WOODW,168.11
2019,IN,WM,MOTOR,DAIRY,167.07
2019,IN,WA,ELECT,ELECT,166.90
2019,IN,DE,CHEM1,PLAST,166.60
2019,IN,ES,LEATH,LEATH,166.05
2019,IN,TR,PLAST,RUBBE,164.16
2019,IN,WM,PLAST,MEDIC,163.45
2019,IN,WA,MOTOR,PUBLI,163.10
2019,IN,US,BASIC,MOTO1,162.97
2019,IN,CN,TRANS,TRANS,161.40
2019,IN,WA,GASDI,RESEA,160.90
2019,IN,WA,VEGET,WOODW,160.87
2019,IN,US,GLASS,ELECT,160.83
2019,IN,BE,BASIC,CONST,160.61
2019,IN,WM,TEXTI,FURNI,159.84
2019,IN,WA,GASDI,RETA1,159.71
2019,IN,WM,CHEM1,RETA1,157.53
2019,IN,WM,FURNI,PUBLI,156.68
2019,IN,WA,CHEM1,REALE,156.50
2019,IN,US,NAPHT,PLAST,154.84
2019,IN,WF,MOTOR,PUBLI,154.80
2019,IN,WF,CHEM1,RETA1,153.49
2019,IN,WM,PROCE,FINAN,152.51
2019,IN,WA,RUBBE,CONST,152.36
2019,IN,WM,CHEM1,MOTOR,151.83
2019,IN,WA,TRANS,EDUCA,150.95
2019,IN,CN,RADIO,OFFIC,150.93
2019,IN,WM,TRANS,TRANS,150.43
2019,IN,WM,SUGA1,FOOD5,150.22
2019,IN,WM,PREC1,FOUND,150.06
2019,IN,WM,VEGET,CHEM1,149.15
2019,IN,WM,MOTOR,WHOLE,148.41
2019,IN,DE,SEACO,WOODW,147.46
2019,IN,WA,INSUR,CHEM1,147.24
2019,IN,DE,RADIO,MACHI,146.56
2019,IN,WA,ELEC1,WEARI,146.49
2019,IN,WM,FOOD5,MEAT1,145.99
2019,IN,WA,MOTOR,SUPPO,145.17
2019,IN,WF,CHEM1,OILSE,145.17
2019,IN,WA,ELECT,RADIO,145.16
2019,IN,CN,KEROS,SUPPO,144.55
2019,IN,KR,LEAD1,LEAD1,143.15
2019,IN,WA,GASDI,EDUCA,142.47
2019,IN,WL,BASIC,BASIC,142.19
2019,IN,WM,CHEM1,PAPER,141.80
2019,IN,WF,CERAM,CONST,140.70
2019,IN,WL,CHEM1,93197,140.53
2019,IN,JP,CHEM1,PLAST,139.99
2019,IN,WM,BASIC,ELECT,139.96
2019,IN,CN,CHEM1,OFFIC,139.81
2019,IN,WA,LIQUE,WEARI,138.79
2019,IN,WA,ELEC1,CHEM1,138.63
2019,IN,ID,BASIC,CONST,137.99
2019,IN,ES,WEARI,WEARI,137.91
2019,IN,WM,BASIC,TRANS,137.65
2019,IN,GB,BASIC,MOTO1,137.52
2019,IN,WM,MOTOR,PFERT,137.19
2019,IN,WA,PLAST,PULP5,136.86
2019,IN,WA,TRANS,FISHF,136.43
2019,IN,WF,MOTOR,CONST,135.64
2019,IN,WM,RADIO,93197,135.62
2019,IN,CA,CHEM1,WOODW,134.94
2019,IN,WA,BASIC,ELECT,133.31
2019,IN,WM,CHEM1,LIQUE,133.23
2019,IN,WM,PROCE,COMPU,133.04
2019,IN,RU,HOTEL,REALE,132.83
2019,IN,WF,MOTOR,CRUDE,132.43
2019,IN,WA,MOTOR,CONST,132.19
2019,IN,WA,TEXTI,PAPER,132.19
2019,IN,WA,CHEM1,SUPPO,132.02
2019,IN,WA,BASIC,BASIC,131.87
2019,IN,FR,REALE,TRANS,131.32
2019,IN,WM,CHEM1,CEREA,131.30
2019,IN,WM,MOTOR,93197,130.93
2019,IN,WM,MOTOR,SUPPO,130.67
2019,IN,WA,CERAM,CONST,130.66
2019,IN,NL,BUSIN,BUSIN,130.65
2019,IN,WM,RADIO,BUSIN,130.22
2019,IN,DE,SEACO,SEACO,130.17
2019,IN,CN,BASIC,FABRI,130.16
2019,IN,NL,VEGET,FOOD5,129.38
2019,IN,CN,ELECT,OFFIC,128.82
2019,IN,MX,CERAM,FURNI,128.52
2019,IN,WM,BASIC,OFFIC,128.41
2019,IN,WA,PLANT,CHARC,127.82
2019,IN,WM,MOTOR,OFFIC,127.54
2019,IN,IT,BASIC,MACHI,127.49
2019,IN,WM,CROPS,EDUCA,127.42
2019,IN,WA,PADDY,CHEM1,127.34
2019,IN,WE,KEROS,AIRTR,127.17
2019,IN,BE,TEXTI,TEXTI,127.03
2019,IN,WA,LANDT,CONST,127.00
2019,IN,WF,MOTOR,WHOLE,124.04
2019,IN,BE,BASIC,BASIC,124.03
2019,IN,WM,FOOD5,FISH5,123.44
2019,IN,WF,PLAST,MEATP,123.43
2019,IN,WM,MOTOR,CHEM1,122.95
2019,IN,WA,LEATH,EDUCA,122.67
2019,IN,WM,CHEM1,NATUR,121.86
2019,IN,NL,TEXTI,TEXTI,121.59
2019,IN,WA,ALUM1,PFERT,120.54
2019,IN,WM,ELECT,SUPPO,120.48
2019,IN,WA,FURNI,PRIVA,120.42
2019,IN,CN,VEGE1,FISH5,120.07
2019,IN,US,COMPU,PUBLI,120.07
2019,IN,WA,LEATH,RETA1,119.36
2019,IN,JP,CHEM1,HEALT,119.35
2019,IN,WL,CHEM1,RETA1,119.00
2019,IN,CN,CHEM1,MACHI,118.65
2019,IN,KR,KEROS,AIRTR,117.81
2019,IN,WM,PLAST,PULP5,116.19
2019,IN,US,RUBBE,PUBLI,115.38
2019,IN,WM,CHEM1,HOTEL,114.76
2019,IN,KR,MOTOR,GASDI,114.75
2019,IN,DE,COMPU,COMPU,114.34
2019,IN,JP,PLAST,RUBBE,113.94
2019,IN,WM,VEGE1,FOOD5,113.42
2019,IN,WM,CHEM1,PRINT,113.37
2019,IN,CN,COPP1,ELECT,113.17
2019,IN,US,RUBBE,RUBBE,113.11
2019,IN,WL,TEXTI,93197,113.10
2019,IN,WM,PROCE,HEALT,113.05
2019,IN,WM,BASIC,FURNI,112.18
2019,IN,CA,BASIC,BASIC,111.83
2019,IN,WA,ALUM1,VEGE1,111.72
2019,IN,WM,PLAST,WOODW,111.21
2019,IN,KR,ALUM1,FURNI,111.17
2019,IN,ID,CHEM1,RUBBE,110.87
2019,IN,CA,FABRI,CONST,110.71
2019,IN,IT,BUSIN,BUSIN,110.46
2019,IN,BE,CROPS,FOOD5,109.46
2019,IN,WM,PROCE,AUXIL,109.43
2019,IN,WA,MOTOR,EDUCA,109.41
2019,IN,WA,GASDI,MEAT4,109.14
2019,IN,WA,TRANS,HOTEL,108.38
2019,IN,WA,NAPHT,CONST,108.23
2019,IN,KR,ALUM1,ALUM1,107.66
2019,IN,WF,CHEM1,CATTL,106.38
2019,IN,WM,PROCE,SALEM,106.08
2019,IN,WF,CHEM1,HOTEL,106.00
2019,IN,WM,MOTOR,BEVER,105.75
2019,IN,WF,PROCE,HOTEL,105.54
2019,IN,WA,MOTOR,RESEA,105.45
2019,IN,CN,KEROS,PUBLI,105.29
2019,IN,WA,BASIC,TRANS,104.32
2019,IN,WM,TEXTI,MEATA,104.27
2019,IN,WM,FOOD5,CHEM1,104.26
2019,IN,WA,CHEM1,POSTT,104.03
2019,IN,WM,FOOD5,DAIRY,103.61
2019,IN,ZA,MOTO1,MOTO1,102.93
2019,IN,WA,TRANS,LANDT,102.90
2019,IN,WM,RADIO,EDUCA,102.10
2019,IN,IT,PLAST,RUBBE,101.95
2019,IN,WM,ALUM1,FABRI,101.67
2019,IN,WA,CERAM,WEARI,101.34
2019,IN,IT,TEXTI,TEXTI,101.27
2019,IN,WA,CEREA,CHEM1,101.12
2019,IN,CN,CROPS,TOBAC,100.91
2019,IN,WA,CHEM1,RECRE,100.58
2019,IN,WA,LEATH,CONST,100.04
2019,IN,WM,PAPER,PAPER,99.87
2019,IN,ID,PLAST,RUBBE,99.77
2019,IN,CA,BASIC,FABRI,99.63
2019,IN,FR,KEROS,AIRTR,99.49
2019,IN,WM,MOTOR,MEAT4,99.12
2019,IN,WF,NAPHT,FURNI,98.77
2019,IN,WF,HEAVY,ELEC6,98.07
2019,IN,WA,CHEM1,ELEC2,97.78
2019,IN,BR,MOTO1,MOTO1,97.56
2019,IN,IT,BASIC,MOTO1,97.52
2019,IN,IE,RUBBE,CONST,97.26
2019,IN,DE,FABRI,CONST,97.16
2019,IN,WF,PROCE,HEALT,97.09
2019,IN,WL,CHEM1,WHOLE,97.06
2019,IN,WM,PETRO,NONME,96.98
2019,IN,WA,ELEC1,PFERT,96.65
2019,IN,WM,MOTOR,CEMEN,95.85
2019,IN,WM,CHEM1,BUSIN,95.71
2019,IN,NL,VEGE1,FOOD5,95.47
2019,IN,WM,MOTOR,EDUCA,95.42
2019,IN,WA,CROPS,CHEM1,94.88
2019,IN,BE,MOTO1,MOTO1,94.65
2019,IN,US,VEGE1,BIOGA,94.44
2019,IN,WA,RUBBE,OFFIC,94.41
2019,IN,DE,FABRI,FABRI,94.28
2019,IN,WA,TRANS,BUSIN,94.01
2019,IN,TR,MOTOR,LANDT,93.79
2019,IN,DE,CHEM1,CHEM1,93.67
2019,IN,GB,TRANS,TRANS,93.58
2019,IN,GB,FABRI,CONST,93.20
2019,IN,WA,BITUM,ELEC1,93.18
2019,IN,WM,PLAST,LEAD1,93.08
2019,IN,CN,CHEM1,NONME,92.86
2019,IN,WM,MOTOR,LEATH,92.40
2019,IN,WM,RADIO,RETA1,92.38
2019,IN,US,MOTOR,HEALT,92.08
2019,IN,WA,ELEC4,CHEM1,91.81
2019,IN,JP,PRIVA,NATU1,91.36
2019,IN,BR,MOTOR,GASDI,91.19
2019,IN,CN,PLANT,PLANT,90.94
2019,IN,JP,TEXTI,TEXTI,90.85
2019,IN,WA,GASDI,RAWMI,90.69
2019,IN,WA,BASIC,NATUR,90.41
2019,IN,CN,MOTOR,CONST,90.34
2019,IN,WF,CHEM1,PLAST,90.28
2019,IN,WA,PLANT,RUBBE,90.15
2019,IN,MX,ELECT,PUBLI,90.13
2019,IN,DE,RUBBE,CONST,90.10
2019,IN,WF,TEXTI,LEATH,89.68
2019,IN,WA,GLASS,GLASS,88.78
2019,IN,US,NONME,RESEA,88.48
2019,IN,KR,VEGE1,FOOD5,87.92
2019,IN,WM,MOTOR,TOBAC,87.79
2019,IN,WM,VEGET,EDUCA,87.38
2019,IN,WF,CHEM1,SALEM,87.35
2019,IN,WM,CHEM1,DAIRY,86.87
2019,IN,WM,ELECT,HEALT,86.85
2019,IN,WM,SUGA1,PFERT,86.81
2019,IN,WM,ELECT,VEGET,86.41
2019,IN,US,COMPU,BUSIN,86.38
2019,IN,WM,MOTOR,TRAN1,86.00
2019,IN,WA,GASDI,WHEAT,85.96
2019,IN,WL,CHEM1,HOTEL,85.89
2019,IN,WM,TEXTI,MEATC,85.52
2019,IN,DE,ELECT,MACHI,85.40
2019,IN,TR,CHEM1,HEALT,85.24
2019,IN,ID,TRANS,TRANS,85.12
2019,IN,WF,MOTOR,POSTT,85.10
2019,IN,US,CHEM1,CHEM1,85.03
2019,IN,WA,MOTOR,RAILW,84.90
2019,IN,WA,GASDI,MEATP,84.53
2019,IN,WM,CHEM1,SALEM,84.51
2019,IN,ZA,MOTOR,LANDT,84.21
2019,IN,CN,RADIO,RADIO,84.02
2019,IN,WM,PROCE,BUSIN,83.99
2019,IN,GB,CHEM1,HEALT,83.97
2019,IN,PT,TEXTI,TEXTI,83.80
2019,IN,WM,NAPHT,PAPER,83.78
2019,IN,WM,FOOD5,CATTL,83.47
2019,IN,NL,CHEM1,HEALT,83.32
2019,IN,ES,BASIC,FABRI,83.18
2019,IN,WF,CHEM1,TEXTI,82.82
2019,IN,WM,PROCE,RECRE,82.81
2019,IN,WM,MOTOR,ELEC2,82.70
2019,IN,CN,FABRI,CONST,82.66
2019,IN,WA,MOTOR,PRINT,82.65
2019,IN,DE,ELECT,MOTO1,82.45
2019,IN,WM,MOTOR,WEARI,82.41
2019,IN,ZA,KEROS,AIRTR,82.22
2019,IN,WF,SUGA1,FOOD5,82.00
2019,IN,WM,TEXTI,FOOD5,82.00
2019,IN,WF,GASDI,ELEC6,81.99
2019,IN,IT,REALE,CONST,81.94
2019,IN,IT,ELECT,MOTO1,81.92
2019,IN,WA,CHEM1,COMPU,81.89
2019,IN,WA,CROPS,OFFIC,81.83
2019,IN,WM,PLAST,WHEAT,81.74
2019,IN,CN,LEATH,LEATH,81.35
2019,IN,US,BUSIN,BUSIN,81.32
2019,IN,US,BUSIN,RESEA,81.28
2019,IN,WM,MOTOR,RAILW,81.04
2019,IN,ID,CHEM1,TEXTI,80.96
2019,IN,WM,RADIO,MOTO1,80.54
2019,IN,ES,MOTO1,MOTO1,80.40
2019,IN,WA,BASIC,MEAT1,80.22
2019,IN,TR,KEROS,AIRTR,79.75
2019,IN,MX,CHEM1,CHEM1,79.73
2019,IN,WF,GASDI,PUBLI,79.66
2019,IN,WA,TRANS,NATUR,79.59
2019,IN,WM,WOODW,CONST,79.27
2019,IN,BR,CHEM1,HEALT,78.88
2019,IN,WA,CROPS,WEARI,78.63
2019,IN,IE,INSUR,INSUR,78.38
2019,IN,WM,NAPHT,FISH5,78.27
2019,IN,US,COMPU,RESEA,78.25
2019,IN,WA,MOTOR,CEMEN,78.22
2019,IN,CN,RUBBE,CONST,78.15
2019,IN,WM,MOTOR,COMPU,78.13
2019,IN,KR,MOTOR,CHEM1,78.04
2019,IN,JP,FISH5,HOTEL,77.67
2019,IN,WL,CHEM1,MOTOR,77.41
2019,IN,WL,TEXTI,HEALT,77.40
2019,IN,WM,PAPER,PUBLI,77.20
2019,IN,WF,CHEM1,RAWMI,77.20
2019,IN,WA,VEGET,CRUDE,77.15
2019,IN,BR,ALUM1,MOTO1,76.94
2019,IN,US,FURNI,CONST,76.91
2019,IN,WM,ELECT,AIRTR,76.88
2019,IN,WL,CHEM1,SALEM,76.51
2019,IN,US,CERAM,CONST,76.43
2019,IN,US,ELECT,CONST,76.13
2019,IN,WM,CHEM1,HEAVY,76.07
2019,IN,CN,TEXTI,FURNI,75.97
2019,IN,WL,TEXTI,LEATH,75.92
2019,IN,WF,PLAST,FABRI,75.70
2019,IN,WM,CHEM1,REALE,75.57
2019,IN,WA,TRANS,MOTO1,75.57
2019,IN,WM,CHEM1,ELEC6,75.53
2019,IN,WM,MOTOR,POULT,75.18
2019,IN,ZA,CHEM1,RUBBE,74.87
2019,IN,DE,CHEM1,HEALT,74.57
2019,IN,WM,CROPS,93197,74.45
2019,IN,WA,PLANT,RETA1,74.27
2019,IN,TR,BASIC,BASIC,74.10
2019,IN,KR,VEGE1,PUBLI,74.05
2019,IN,WA,TRANS,VEGE1,73.85
2019,IN,BR,KEROS,AIRTR,73.62
2019,IN,WM,CHEM1,POULT,73.55
2019,IN,WM,CERAM,PFERT,73.45
2019,IN,FR,ELECT,MOTO1,73.32
2019,IN,WM,MOTOR,NATUR,73.25
2019,IN,AU,TRANS,PUBLI,73.22
2019,IN,WA,TEXTI,PFERT,72.99
2019,IN,KR,MOTOR,KEROS,72.94
2019,IN,WA,TEXTI,VEGET,72.94
2019,IN,AU,FABRI,CONST,72.91
2019,IN,CN,CHEM1,CRUDE,72.65
2019,IN,CA,CHEM1,RUBBE,72.54
2019,IN,WM,MOTOR,VEGET,72.52
2019,IN,WM,CHEM1,BEVER,72.00
2019,IN,WF,NAPHT,DIST1,71.91
2019,IN,WM,ALUM1,CONST,71.86
2019,IN,WA,TEXTI,EDUCA,71.84
2019,IN,WM,RADIO,HEALT,71.55
2019,IN,WF,GASDI,MEDIC,71.39
2019,IN,WL,TRANS,CONST,71.27
2019,IN,RU,RADIO,BUSIN,70.99
2019,IN,WA,GASDI,CROPS,70.94
2019,IN,CN,CHEM1,FABRI,70.82
2019,IN,WA,FORES,CHEM1,70.39
2019,IN,US,FISH5,HOTEL,70.17
2019,IN,WM,PROCE,RETAI,69.98
2019,IN,WF,MOTOR,SUPPO,69.94
2019,IN,WL,PLAST,MEATP,69.61
2019,IN,BR,TEXTI,TEXTI,69.54
2019,IN,WL,CHEM1,OILSE,69.35
2019,IN,WA,LIQUE,OFFIC,69.24
2019,IN,US,TEXTI,HEALT,69.16
2019,IN,WA,HEAVY,CERAM,69.08
2019,IN,WA,GASDI,RENTI,69.07
2019,IN,WA,HEAVY,GLASS,68.92
2019,IN,WF,SUGA1,EDUCA,68.79
2019,IN,US,ELECT,MACHI,68.42
2019,IN,WM,CHEM1,FABRI,68.35
2019,IN,CN,CHEM1,WEARI,68.23
2019,IN,WM,BUSIN,PROCE,68.22
2019,IN,WM,MOTO1,PUBLI,68.05
2019,IN,NL,NAPHT,MOTOR,68.05
2019,IN,WM,CHEM1,WOODW,67.97
2019,IN,WA,HEAVY,MEAT4,67.87
2019,IN,DK,SEACO,LANDT,67.74
2019,IN,WA,PLAST,ELEC2,67.62
2019,IN,LU,FURNI,BUSIN,67.60
2019,IN,US,ELECT,RESEA,67.22
2019,IN,WA,MOTOR,VEGET,67.15
2019,IN,WL,TEXTI,PAPER,66.93
2019,IN,TR,RADIO,RADIO,66.93
2019,IN,WM,GASDI,CHEM1,66.85
2019,IN,WM,CROPS,RESEA,66.54
2019,IN,WM,NAPHT,WOODW,66.49
2019,IN,DE,FABRI,MACHI,66.44
2019,IN,WM,CHEM1,CATTL,66.08
2019,IN,WA,PLAST,BEVER,65.95
2019,IN,WM,MEAT4,PFERT,65.91
2019,IN,KR,BASIC,CONST,65.84
2019,IN,WA,GASDI,MEAT1,65.74
2019,IN,WM,FOOD5,MEATC,65.73
2019,IN,TR,MOTO1,MOTO1,65.69
2019,IN,WA,ALUM1,PRINT,65.61
2019,IN,US,FURNI,MOTO1,65.54
2019,IN,WA,MOTOR,OFFIC,65.41
2019,IN,WA,ALUM1,WHOLE,65.14
2019,IN,WM,FOOD5,RESEA,64.91
2019,IN,WM,PROCE,CRUDE,64.89
2019,IN,TR,TEXTI,TEXTI,64.86
2019,IN,BR,MOTOR,MOTOR,64.80
2019,IN,CN,KEROS,AIRTR,64.75
2019,IN,WA,FURNI,EDUCA,64.68
2019,IN,WM,MOTOR,NONF1,64.60
2019,IN,RU,RADIO,TRANS,64.56
2019,IN,US,CHEM1,WOODW,64.51
2019,IN,WM,MOTOR,CERAM,64.42
2019,IN,WM,NAPHT,MEATC,64.33
2019,IN,WA,MOTOR,FISHF,64.32
