industry_id,name,category,sector_index
BOTTL,"Bottles for treatment, Recycling of bottles by direct reuse",Other Services,126
ELEC1,Electricity by coal,Mining,127
ELEC2,Electricity by gas,Mining,128
ELEC3,Electricity by nuclear,Utilities,129
ELEC4,Electricity by hydro,Utilities,130
ELEC5,Electricity by wind,Utilities,131
ELEC6,Electricity by petroleum and other oil derivatives,Mining,132
ELEC7,Electricity by biomass and waste,Utilities,133
ELEC8,Electricity by solar photovoltaic,Utilities,134
ELEC9,Electricity by solar thermal,Utilities,135
ELE10,"Electricity by tide, wave, ocean",Utilities,136
ELE11,Electricity by Geothermal,Utilities,137
ELE12,Electricity nec,Utilities,138
TRAN1,Transmission services of electricity,Utilities,139
DISTR,Distribution and trade services of electricity,Utilities,140
COKE1,Coke oven gas,Mining,141
BLAST,Blast Furnace Gas,Mining,142
OXYGE,Oxygen Steel Furnace Gas,Mining,143
GASWO,Gas Works Gas,Mining,144
BIOG1,Biogas,Mining,145
DIST1,Distribution services of gaseous fuels through mains,Mining,146
STEAM,Steam and hot water supply services,Utilities,147
COLLE,"Collected and purified water, distribution services of water (41)",Utilities,148
CONST,Construction work (45),Construction,149
SEC10,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",Construction,150
SALEM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Transportation Equipment,151
RETAI,Retail trade services of motor fuel,Transportation Equipment,152
WHOLE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",Transportation Equipment,153
RETA1,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",Transportation Equipment,154
HOTEL,Hotel and restaurant services (55),Accommodation & Food,155
RAILW,Railway transportation services,Transportation Equipment,156
LANDT,Other land transportation services,Transportation Equipment,157
TRAN2,Transportation services via pipelines,Transportation Equipment,158
SEACO,Sea and coastal water transportation services,Transportation Equipment,159
INLAN,Inland water transportation services,Transportation Equipment,160
AIRTR,Air transport services (62),Transportation Equipment,161
SUPPO,Supporting and auxiliary transport services; travel agency services (63),Transportation Equipment,162
POSTT,Post and telecommunication services (64),Information,163
FINAN,"Financial intermediation services, except insurance and pension funding services (65)",Information,164
INSUR,"Insurance and pension funding services, except compulsory social security services (66)",Finance & Insurance,165
AUXIL,Services auxiliary to financial intermediation (67),Information,166
REALE,Real estate services (70),Real Estate,167
RENTI,Renting services of machinery and equipment without operator and of personal and household goods (71),Machinery,168
COMPU,Computer and related services (72),Machinery,169
RESEA,Research and development services (73),Other Services,170
BUSIN,Other business services (74),Other Services,171
PUBLI,Public administration and defence services; compulsory social security services (75),Public Administration,172
EDUCA,Education services (80),Education,173
HEALT,Health and social work services (85),Health & Social,174
FOODW,Food waste for treatment: incineration,Food Manufacturing,175
PAPE1,Paper waste for treatment: incineration,Administrative Services,176
PLAS1,Plastic waste for treatment: incineration,Chemicals,177
INTER,Intert/metal waste for treatment: incineration,Metals,178
TEXT1,Textiles waste for treatment: incineration,Textiles,179
WOOD1,Wood waste for treatment: incineration,Forestry,180
OILHA,Oil/hazardous waste for treatment: incineration,Administrative Services,181
FOOD1,Food waste for treatment: biogasification and land application,Mining,182
PAPE2,Paper waste for treatment: biogasification and land application,Mining,183
SEWAG,Sewage sludge for treatment: biogasification and land application,Mining,184
FOOD2,Food waste for treatment: composting and land application,Food Manufacturing,185
PAPE3,Paper and wood waste for treatment: composting and land application,Forestry,186
FOOD3,Food waste for treatment: waste water treatment,Food Manufacturing,187
WASTE,Other waste for treatment: waste water treatment,Utilities,188
FOOD4,Food waste for treatment: landfill,Food Manufacturing,189
PAPE4,Paper for treatment: landfill,Transportation Services,190
PLAS2,Plastic waste for treatment: landfill,Chemicals,191
INERT,Inert/metal/hazardous waste for treatment: landfill,Metals,192
TEXT2,Textiles waste for treatment: landfill,Textiles,193
WOOD2,Wood waste for treatment: landfill,Forestry,194
MEMBE,Membership organisation services n.e.c. (91),Transportation Equipment,195
RECRE,"Recreational, cultural and sporting services (92)",Arts & Recreation,196
93197,Other services (93),Other Services,197
PRIVA,Private households with employed persons (95),Other Services,198
EXTRA,Extra-territorial organizations and bodies,Other Services,199
