industry_id,name,category,sector_index,name_length
PROCE,Processed rice,Other Services,48,14
SUGA1,Sugar,Other Services,49,5
FOOD5,Food products nec,Food Manufacturing,50,17
BEVER,Beverages,Food Manufacturing,51,9
FISH5,Fish products,Fishing,52,13
TOBAC,Tobacco products (16),Food Manufacturing,53,21
TEXTI,Textiles (17),Textiles,54,13
WEARI,Wearing apparel; furs (18),Textiles,55,26
LEATH,Leather and leather products (19),Textiles,56,33
WOODW,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),Forestry,57,100
WOODM,"Wood material for treatment, Re-processing of secondary wood material into new wood material",Forestry,58,92
PULP5,Pulp,Other Services,59,4
SECON,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",Other Services,60,77
PAPER,Paper and paper products,Other Services,61,24
PRINT,Printed matter and recorded media (22),Information,62,38
COKEO,Coke Oven Coke,Other Services,63,14
GASCO,Gas Coke,Mining,64,8
COALT,Coal Tar,Mining,65,8
MOTOR,Motor Gasoline,Mining,66,14
AVIAT,Aviation Gasoline,Mining,67,17
GASOL,Gasoline Type Jet Fuel,Mining,68,22
KEROS,Kerosene Type Jet Fuel,Other Services,69,22
KERO1,Kerosene,Other Services,70,8
GASDI,Gas/Diesel Oil,Mining,71,14
HEAVY,Heavy Fuel Oil,Other Services,72,14
REFIN,Refinery Gas,Mining,73,12
LIQUE,Liquefied Petroleum Gases (LPG),Mining,74,31
REFI1,Refinery Feedstocks,Other Services,75,19
ETHAN,Ethane,Other Services,76,6
NAPHT,Naphtha,Other Services,77,7
WHITE,White Spirit & SBP,Other Services,78,18
LUBRI,Lubricants,Other Services,79,10
BITU1,Bitumen,Other Services,80,7
PARAF,Paraffin Waxes,Other Services,81,14
PETRO,Petroleum Coke,Mining,82,14
NONSP,Non-specified Petroleum Products,Mining,83,32
NUCLE,Nuclear fuel,Other Services,84,12
PLAST,"Plastics, basic",Chemicals,85,15
SECO1,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",Chemicals,86,84
NFERT,N-fertiliser,Other Services,87,12
PFERT,P- and other fertiliser,Other Services,88,23
CHEM1,Chemicals nec,Chemicals,89,13
CHARC,Charcoal,Mining,90,8
ADDIT,Additives/Blending Components,Other Services,91,29
BIOGA,Biogasoline,Mining,92,11
BIODI,Biodiesels,Other Services,93,10
LIQUI,Other Liquid Biofuels,Other Services,94,21
RUBBE,Rubber and plastic products (25),Chemicals,95,32
GLASS,Glass and glass products,Other Services,96,24
SECO2,"Secondary glass for treatment, Re-processing of secondary glass into new glass",Other Services,97,78
CERAM,Ceramic goods,Other Services,98,13
BRICK,"Bricks, tiles and construction products, in baked clay",Construction,99,54
CEMEN,"Cement, lime and plaster",Other Services,100,24
ASHFO,"Ash for treatment, Re-processing of ash into clinker",Other Services,101,52
NONME,Other non-metallic mineral products,Metals,102,35
BASIC,Basic iron and steel and of ferro-alloys and first products thereof,Metals,103,67
SECO3,"Secondary steel for treatment, Re-processing of secondary steel into new steel",Metals,104,78
PREC1,Precious metals,Metals,105,15
SECO4,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",Metals,106,108
ALUM1,Aluminium and aluminium products,Other Services,107,32
SECO5,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",Other Services,108,90
LEAD1,"Lead, zinc and tin and products thereof",Other Services,109,39
SECO6,"Secondary lead for treatment, Re-processing of secondary lead into new lead",Other Services,110,75
COPP1,Copper products,Other Services,111,15
SECO7,"Secondary copper for treatment, Re-processing of secondary copper into new copper",Other Services,112,81
NONF1,Other non-ferrous metal products,Metals,113,32
SECO8,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",Metals,114,135
FOUND,Foundry work services,Other Services,115,21
FABRI,"Fabricated metal products, except machinery and equipment (28)",Metals,116,62
MACHI,Machinery and equipment n.e.c. (29),Machinery,117,35
OFFIC,Office machinery and computers (30),Machinery,118,35
ELECT,Electrical machinery and apparatus n.e.c. (31),Machinery,119,46
RADIO,"Radio, television and communication equipment and apparatus (32)",Machinery,120,64
MEDIC,"Medical, precision and optical instruments, watches and clocks (33)",Health & Social,121,67
MOTO1,"Motor vehicles, trailers and semi-trailers (34)",Transportation Equipment,122,47
TRANS,Other transport equipment (35),Machinery,123,30
FURNI,Furniture; other manufactured goods n.e.c. (36),Other Services,124,47
SECO9,Secondary raw materials,Other Services,125,23
BOTTL,"Bottles for treatment, Recycling of bottles by direct reuse",Other Services,126,59
ELEC1,Electricity by coal,Mining,127,19
ELEC2,Electricity by gas,Mining,128,18
ELEC3,Electricity by nuclear,Utilities,129,22
